總分,技能,天賦,推薦,職缺,公司,來源,遠端,地點,命中關鍵字,連結
36,59,0,,PM-產品規劃師 Product Manager,順立智慧股份有限公司,104,,台北市內湖區,研究、分析、規劃、協作、設計,https://www.104.com.tw/job/6qvz0
33,56,0,,Enablement Program Manager (AI Solutions),Aiworks,Cake,,"大安區, 台北市, 台灣",分析、規劃、教學、顧問、協作、設計,https://www.cake.me/companies/aiworks/jobs/enablement-program-manager
33,56,0,,【小雞上工】高級／資深客戶服務諮詢師,數字科技股份有限公司,Cake,,"三重區, 新北市, 台灣",分析、規劃、解決問題、客戶服務、設計,https://www.cake.me/companies/addcn/jobs/little-chicken-goes-to-workcustomer-service-consultant-223
33,56,0,,Product Designer (UI/UX) 產品設計師,雲發互動科技有限公司,Cake,,"中山區, 台北市, 台灣",研究、分析、協作、設計,https://www.cake.me/companies/super8studio/jobs/ui-ux-designer-interface-experience-designer
33,56,0,,產品規劃經理｜Product Manager,動見科技 OmniEyes,Cake,,"大安區, 台北市, 台灣",分析、規劃、解決問題、教學、設計,https://www.cake.me/companies/omnieyes/jobs/product-planning-manager
33,56,0,,"【國泰集團】商業策略規劃師 – (數數發中心, DDT)",國泰世紀產物保險股份有限公司,Cake,,"大安區, 台北市, 台灣",研究、分析、規劃、協作、發想,https://www.cake.me/companies/cathayins/jobs/ba18b0
33,56,0,,【電商平台營運企劃專員】#電商行銷 #平台資源談判 #數據整合與分析,優迪國際股份有限公司,104,,台北市南港區,分析、規劃、談判、協作,https://www.104.com.tw/job/8m7bd
33,56,0,,AMG Web3.0 生態圈 UI/UX 設計師,安盛資本有限公司,104,,台北市中山區,研究、分析、協作、設計,https://www.104.com.tw/job/8u4s6
33,56,0,,使用者研究專員,雃博股份有限公司,104,,新北市土城區,研究、分析、協作、設計,https://www.104.com.tw/job/8zmem
33,56,0,,UX 設計師（使用者體驗設計師）,萬兩電子科技有限公司,104,,台北市大安區,研究、分析、協作、設計,https://www.104.com.tw/job/8t97y
